,actual,forecast,error,lower_ci,upper_ci
2018-01-01 00:00:00+00:00,40613.0,40554.50869123139,58.49130876860727,,
2018-01-01 01:00:00+00:00,39713.0,39725.72659532596,-12.72659532596299,,
2018-01-01 02:00:00+00:00,38496.0,39706.6284528472,-1210.6284528472024,,
2018-01-01 03:00:00+00:00,38487.0,40206.500431770015,-1719.500431770015,,
2018-01-01 04:00:00+00:00,38750.0,41191.961871895175,-2441.961871895175,,
2018-01-01 05:00:00+00:00,37786.0,43055.49871231519,-5269.498712315188,,
2018-01-01 06:00:00+00:00,38015.0,46256.07164588145,-8241.07164588145,,
2018-01-01 07:00:00+00:00,39138.0,49341.536786932156,-10203.536786932156,,
2018-01-01 08:00:00+00:00,41543.0,52079.245958578955,-10536.245958578955,,
2018-01-01 09:00:00+00:00,43828.0,54273.01379698427,-10445.013796984269,,
2018-01-01 10:00:00+00:00,46382.0,56071.95557172172,-9689.955571721723,,
2018-01-01 11:00:00+00:00,48152.0,56033.185305573956,-7881.185305573956,,
2018-01-01 12:00:00+00:00,47353.0,54736.8889327682,-7383.888932768197,,
2018-01-01 13:00:00+00:00,46271.0,53731.12633279463,-7460.126332794629,,
2018-01-01 14:00:00+00:00,46180.0,53744.23229264291,-7564.2322926429115,,
2018-01-01 15:00:00+00:00,48376.0,55628.77895846241,-7252.7789584624115,,
2018-01-01 16:00:00+00:00,52139.0,58380.55945640458,-6241.559456404582,,
2018-01-01 17:00:00+00:00,52886.0,58075.91418097894,-5189.9141809789435,,
2018-01-01 18:00:00+00:00,51562.0,56033.422084771,-4471.422084771002,,
2018-01-01 19:00:00+00:00,48972.0,52530.69629915366,-3558.6962991536566,,
2018-01-01 20:00:00+00:00,47512.0,50076.63067317215,-2564.630673172149,,
2018-01-01 21:00:00+00:00,46844.0,49148.07920657068,-2304.0792065706773,,
2018-01-01 22:00:00+00:00,43560.0,46260.29874185678,-2700.298741856779,,
2018-01-01 23:00:00+00:00,40810.0,43660.11673627666,-2850.1167362766573,,
2018-01-02 00:00:00+00:00,39033.0,41909.72118715143,-2876.72118715143,,
2018-01-02 01:00:00+00:00,38421.0,40873.36045956982,-2452.36045956982,,
2018-01-02 02:00:00+00:00,38771.0,40799.634714301326,-2028.6347143013263,,
2018-01-02 03:00:00+00:00,40156.0,41428.30796788391,-1272.307967883913,,
2018-01-02 04:00:00+00:00,43366.0,42650.412589795684,715.5874102043163,,
2018-01-02 05:00:00+00:00,49805.0,45072.08197012587,4732.918029874127,,
2018-01-02 06:00:00+00:00,56567.0,48760.8936526885,7806.106347311499,,
2018-01-02 07:00:00+00:00,60770.0,51984.19230286467,8785.80769713533,,
2018-01-02 08:00:00+00:00,62933.0,54504.39930171425,8428.60069828575,,
2018-01-02 09:00:00+00:00,64678.0,56422.020811880364,8255.979188119636,,
2018-01-02 10:00:00+00:00,65911.0,57964.37243690562,7946.627563094378,,
2018-01-02 11:00:00+00:00,66643.0,57831.71821392022,8811.28178607978,,
2018-01-02 12:00:00+00:00,65962.0,56548.98270054171,9413.01729945829,,
2018-01-02 13:00:00+00:00,64687.0,55520.698598081675,9166.301401918325,,
2018-01-02 14:00:00+00:00,63922.0,55425.667689652466,8496.332310347534,,
