,Peak (p90+),Non-peak,diff(A-B)
DE_amprion_load_actual_entsoe_transparency,0.07327507479172934,0.03775446647021662,0.03552060832151272
DE_transnetbw_load_actual_entsoe_transparency,0.03625522478001661,0.022558879947596512,0.013696344832420097
sarima_pred,0.030307678996701736,0.016864502174899536,0.0134431768218022
target_load_lag_24,0.034407657380333675,0.02403346337587022,0.010374194004463457
target_load_rolling_mean_3,0.022875263349015948,0.01497454594157494,0.007900717407441008
DE_tennet_load_actual_entsoe_transparency,0.01699190118201159,0.00930549844965124,0.00768640273236035
target_load_same_hour_last_week,0.01811466048165239,0.011305276452796673,0.006809384028855716
day_of_week_cos,0.019249182640318715,0.013336301273339754,0.005912881366978961
target_load_ema_6,0.02000764016510729,0.014527557221701624,0.005480082943405665
target_load_lag_48,0.015122181368632068,0.011810558504235402,0.0033116228643966655
target_load_ema_12,0.013424379293577983,0.010726437051850866,0.0026979422417271175
target_load_rolling_std_24,0.013083240554436864,0.01159988766048542,0.0014833528939514444
DE_50hertz_load_actual_entsoe_transparency,0.054238875612250534,0.053334264367004384,0.0009046112452461494
target_load_lag_12,0.011865338157558653,0.011729512984542691,0.0001358251730159618
DE_50hertz_solar_generation_actual,0.01544314338954462,0.01872195019597455,-0.00327880680642993
